genome	kingdom	phylum	class	order	family	genus	species
G001820115	Bacteria	Candidatus Staskawiczbacteria					Candidatus Staskawiczbacteria bacterium RIFCSPHIGHO2_01_FULL_41_41
G001820135	Bacteria	Candidatus Staskawiczbacteria					Candidatus Staskawiczbacteria bacterium RIFCSPHIGHO2_02_FULL_33_16
G001820145	Bacteria	Candidatus Staskawiczbacteria					Candidatus Staskawiczbacteria bacterium RIFCSPHIGHO2_02_FULL_34_9
G001820175	Bacteria	Candidatus Staskawiczbacteria					Candidatus Staskawiczbacteria bacterium RIFCSPHIGHO2_02_FULL_42_22
G001820225	Bacteria	Candidatus Staskawiczbacteria					Candidatus Staskawiczbacteria bacterium RIFCSPLOWO2_01_FULL_37_19
G001820295	Bacteria	Candidatus Staskawiczbacteria					Candidatus Staskawiczbacteria bacterium RIFOXYA1_FULL_37_15
G001820305	Bacteria	Candidatus Staskawiczbacteria					Candidatus Staskawiczbacteria bacterium RIFCSPLOWO2_01_FULL_43_17b
G001820325	Bacteria	Candidatus Staskawiczbacteria					Candidatus Staskawiczbacteria bacterium RIFOXYA12_FULL_37_10
G001820355	Bacteria	Candidatus Staskawiczbacteria					Candidatus Staskawiczbacteria bacterium RIFOXYA2_FULL_32_7
G001820395	Bacteria	Candidatus Staskawiczbacteria					Candidatus Staskawiczbacteria bacterium RIFOXYB2_FULL_37_10
G001820405	Bacteria	Candidatus Staskawiczbacteria					Candidatus Staskawiczbacteria bacterium RIFOXYC1_FULL_37_43
G001820445	Bacteria	Candidatus Staskawiczbacteria					Candidatus Staskawiczbacteria bacterium RIFOXYC2_FULL_37_17
G001820475	Bacteria	Candidatus Staskawiczbacteria					Candidatus Staskawiczbacteria bacterium RIFOXYC2_FULL_37_19
G001820515	Bacteria	Candidatus Staskawiczbacteria					Candidatus Staskawiczbacteria bacterium RIFOXYD1_FULL_37_110
G001820535	Bacteria	Candidatus Staskawiczbacteria					Candidatus Staskawiczbacteria bacterium RIFOXYD1_FULL_37_73
G001820555	Bacteria	Candidatus Staskawiczbacteria					Candidatus Staskawiczbacteria bacterium RIFOXYD12_FULL_37_10
G001820565	Bacteria	Candidatus Sungbacteria					Candidatus Sungbacteria bacterium RIFCSPHIGHO2_01_FULL_47_32
G001820595	Bacteria	Candidatus Sungbacteria					Candidatus Sungbacteria bacterium RIFCSPHIGHO2_02_FULL_49_12
G001820635	Bacteria	Candidatus Sungbacteria					Candidatus Sungbacteria bacterium RIFCSPHIGHO2_02_FULL_51_29
G001820675	Bacteria	Candidatus Sungbacteria					Candidatus Sungbacteria bacterium RIFCSPLOWO2_01_FULL_47_10
G001820685	Bacteria	Candidatus Sungbacteria					Candidatus Sungbacteria bacterium RIFCSPLOWO2_01_FULL_47_32
G001820715	Bacteria	Candidatus Sungbacteria					Candidatus Sungbacteria bacterium RIFCSPLOWO2_01_FULL_51_34
G001820725	Bacteria	Candidatus Sungbacteria					Candidatus Sungbacteria bacterium RIFCSPLOWO2_01_FULL_54_21
G001820755	Bacteria	Candidatus Sungbacteria					Candidatus Sungbacteria bacterium RIFCSPLOWO2_01_FULL_60_25
G001820775	Bacteria	Candidatus Sungbacteria					Candidatus Sungbacteria bacterium RIFCSPLOWO2_12_FULL_41_11
G001820815	Bacteria	Candidatus Tagabacteria					Candidatus Tagabacteria bacterium RIFCSPLOWO2_01_FULL_39_11
G001820825	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPHIGHO2_01_FULL_43_120
G001820855	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPHIGHO2_01_FULL_45_63
G001820875	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPHIGHO2_01_FULL_46_22b
G001820885	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPHIGHO2_01_FULL_48_38
G001820905	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPHIGHO2_01_FULL_49_60
G001820935	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPHIGHO2_01_FULL_51_15
G001820955	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPHIGHO2_02_FULL_43_32b
G001820985	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPHIGHO2_02_FULL_45_35
G001821015	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPHIGHO2_02_FULL_46_13
G001821035	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPHIGHO2_12_FULL_42_34
G001821055	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPHIGHO2_12_FULL_45_16
G001821065	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPLOWO2_01_FULL_43_44
G001821115	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPLOWO2_01_FULL_45_59
G001821135	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPLOWO2_01_FULL_48_100
G001821155	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPLOWO2_01_FULL_50_130
G001821165	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPLOWO2_02_50_13
G001821185	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPLOWO2_02_FULL_43_11
G001821215	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPLOWO2_02_FULL_43_22b
G001821235	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPLOWO2_02_FULL_45_10b
G001821245	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPLOWO2_02_FULL_46_40
G001821275	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPLOWO2_02_FULL_50_120
G001821295	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPLOWO2_12_FULL_43_20
G001821305	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPLOWO2_02_FULL_48_16
G001821355	Bacteria	Candidatus Liptonbacteria					Candidatus Liptonbacteria bacterium RIFOXYB1_FULL_36_10
G001821375	Bacteria	Candidatus Liptonbacteria					Candidatus Liptonbacteria bacterium RIFOXYD1_FULL_36_11
G001821385	Bacteria	Candidatus Llyodbacteria					Candidatus Lloydbacteria bacterium RIFCSPHIGHO2_02_FULL_50_11
G001821395	Bacteria	Candidatus Llyodbacteria					Candidatus Lloydbacteria bacterium RIFCSPHIGHO2_02_FULL_50_18
G001821435	Bacteria	Candidatus Llyodbacteria					Candidatus Lloydbacteria bacterium RIFCSPLOWO2_01_FULL_50_20
G001821455	Bacteria	Candidatus Nealsonbacteria					Candidatus Nealsonbacteria bacterium RBG_13_42_11
G001821575	Bacteria	Candidatus Nealsonbacteria					Candidatus Nealsonbacteria bacterium RIFOXYC1_FULL_40_7
G001821685	Bacteria	Candidatus Ryanbacteria					Candidatus Ryanbacteria bacterium RIFCSPLOWO2_01_FULL_47_79
G001821725	Bacteria	Candidatus Ryanbacteria					Candidatus Ryanbacteria bacterium RIFCSPLOWO2_02_FULL_45_11c
G001821755	Bacteria	Candidatus Ryanbacteria					Candidatus Ryanbacteria bacterium RIFCSPLOWO2_02_FULL_47_14
G001821795	Bacteria	Candidatus Ryanbacteria					Candidatus Ryanbacteria bacterium RIFCSPLOWO2_12_FULL_47_9c
G001821805	Bacteria	Candidatus Spechtbacteria					Candidatus Spechtbacteria bacterium RIFCSPHIGHO2_01_FULL_43_30
G001821835	Bacteria	Candidatus Spechtbacteria					Candidatus Spechtbacteria bacterium RIFCSPHIGHO2_12_FULL_38_30
G001821845	Bacteria	Candidatus Spechtbacteria					Candidatus Spechtbacteria bacterium RIFCSPLOWO2_01_FULL_38_20
G001821925	Bacteria	Candidatus Staskawiczbacteria					Candidatus Staskawiczbacteria bacterium RIFCSPHIGHO2_01_FULL_37_17
G001821935	Bacteria	Candidatus Staskawiczbacteria					Candidatus Staskawiczbacteria bacterium RIFCSPHIGHO2_02_FULL_43_16
G001822005	Bacteria	Candidatus Staskawiczbacteria					Candidatus Staskawiczbacteria bacterium RIFCSPLOWO2_02_FULL_39_8
G001822075	Bacteria	Candidatus Staskawiczbacteria					Candidatus Staskawiczbacteria bacterium RIFOXYB1_FULL_38_37
G001822135	Bacteria	Candidatus Staskawiczbacteria					Candidatus Staskawiczbacteria bacterium RIFOXYC12_FULL_39_20
G001822155	Bacteria	Candidatus Staskawiczbacteria					Candidatus Staskawiczbacteria bacterium RIFOXYD2_FULL_37_10
G001822165	Bacteria	Candidatus Staskawiczbacteria					Candidatus Staskawiczbacteria bacterium RIFOXYD1_FULL_39_28
G001822215	Bacteria	Candidatus Sungbacteria					Candidatus Sungbacteria bacterium RIFCSPHIGHO2_01_FULL_50_25
G001822295	Bacteria	Candidatus Sungbacteria					Candidatus Sungbacteria bacterium RIFCSPHIGHO2_01_FULL_54_26
G001822305	Bacteria	Candidatus Sungbacteria					Candidatus Sungbacteria bacterium RIFCSPHIGHO2_02_FULL_41_12b
G001822325	Bacteria	Candidatus Sungbacteria					Candidatus Sungbacteria bacterium RIFCSPHIGHO2_02_FULL_46_12
G001822345	Bacteria	Candidatus Sungbacteria					Candidatus Sungbacteria bacterium RIFCSPHIGHO2_02_FULL_47_11
G001822375	Bacteria	Candidatus Sungbacteria					Candidatus Sungbacteria bacterium RIFCSPHIGHO2_02_FULL_53_17
G001822385	Bacteria	Candidatus Sungbacteria					Candidatus Sungbacteria bacterium RIFCSPLOWO2_01_FULL_59_16
G001822415	Bacteria	Candidatus Sungbacteria					Candidatus Sungbacteria bacterium RIFCSPLOWO2_02_FULL_47_9
G001822425	Bacteria	Candidatus Sungbacteria					Candidatus Sungbacteria bacterium RIFCSPLOWO2_02_FULL_48_13b
G001822455	Bacteria	Candidatus Sungbacteria					Candidatus Sungbacteria bacterium RIFCSPLOWO2_02_FULL_54_10
G001822475	Bacteria	Candidatus Tagabacteria					Candidatus Tagabacteria bacterium RIFCSPLOWO2_01_FULL_42_9
G001822495	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPHIGHO2_01_FULL_44_110
G001822505	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPHIGHO2_01_FULL_43_47
G001822535	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPHIGHO2_02_49_25
G001822555	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPHIGHO2_02_FULL_43_55
G001822595	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPHIGHO2_02_FULL_45_28
G001822615	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPHIGHO2_02_FULL_47_18
G001822625	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPLOWO2_01_FULL_43_83
G001822655	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPLOWO2_01_FULL_45_15b
G001822675	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPLOWO2_01_FULL_45_34b
G001822705	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPLOWO2_12_FULL_44_15c
G001822735	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPLOWO2_12_FULL_44_9
G001822755	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPLOWO2_12_FULL_47_20
G001822765	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPLOWO2_12_FULL_48_11
G001822815	Bacteria	Candidatus Terrybacteria					Candidatus Terrybacteria bacterium RIFCSPHIGHO2_01_FULL_43_35
G001822835	Bacteria	Candidatus Terrybacteria					Candidatus Terrybacteria bacterium RIFCSPHIGHO2_01_FULL_48_17
G001822865	Bacteria	Candidatus Terrybacteria					Candidatus Terrybacteria bacterium RIFCSPHIGHO2_02_FULL_43_14
G001822895	Bacteria	Candidatus Terrybacteria					Candidatus Terrybacteria bacterium RIFCSPLOWO2_01_FULL_40_23
G001822905	Bacteria	Candidatus Terrybacteria					Candidatus Terrybacteria bacterium RIFCSPLOWO2_01_FULL_44_24
G001822935	Bacteria	Candidatus Terrybacteria					Candidatus Terrybacteria bacterium RIFCSPLOWO2_01_FULL_48_14
G001822975	Bacteria	Candidatus Veblenbacteria					Candidatus Veblenbacteria bacterium RIFOXYC1_FULL_42_9
G001823015	Bacteria	Candidatus Veblenbacteria					Candidatus Veblenbacteria bacterium RIFOXYD1_FULL_43_11
G001823055	Bacteria	Candidatus Vogelbacteria					Candidatus Vogelbacteria bacterium RIFOXYB1_FULL_42_16
G001823155	Bacteria	Candidatus Wildermuthbacteria					Candidatus Wildermuthbacteria bacterium RIFCSPHIGHO2_01_FULL_48_25
G001823165	Bacteria	Candidatus Wildermuthbacteria					Candidatus Wildermuthbacteria bacterium RIFCSPHIGHO2_01_FULL_49_22b
G001823235	Bacteria	Candidatus Wildermuthbacteria					Candidatus Wildermuthbacteria bacterium RIFCSPHIGHO2_02_FULL_47_12
G001823295	Bacteria	Candidatus Wildermuthbacteria					Candidatus Wildermuthbacteria bacterium RIFCSPHIGHO2_02_FULL_49_9
G001823315	Bacteria	Candidatus Wildermuthbacteria					Candidatus Wildermuthbacteria bacterium RIFCSPHIGHO2_12_FULL_40_12
G001823375	Bacteria	Candidatus Wildermuthbacteria					Candidatus Wildermuthbacteria bacterium RIFCSPLOWO2_01_FULL_48_35
G001823415	Bacteria	Candidatus Wildermuthbacteria					Candidatus Wildermuthbacteria bacterium RIFCSPLOWO2_02_FULL_47_10
G001823495	Bacteria	Candidatus Yonathbacteria					Candidatus Yonathbacteria bacterium RIFCSPHIGHO2_01_FULL_44_41
G001823505	Bacteria	Candidatus Yonathbacteria					Candidatus Yonathbacteria bacterium RIFCSPHIGHO2_01_FULL_51_10
G001823535	Bacteria	Candidatus Yonathbacteria					Candidatus Yonathbacteria bacterium RIFCSPHIGHO2_02_FULL_44_14
G001823545	Bacteria	Candidatus Yonathbacteria					Candidatus Yonathbacteria bacterium RIFCSPLOWO2_01_FULL_43_27
G001823695	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPHIGHO2_01_FULL_43_25
G001823715	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPHIGHO2_01_FULL_43_60
G001823735	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPHIGHO2_01_FULL_49_18
G001823745	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPHIGHO2_02_FULL_39_16
G001823795	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPHIGHO2_02_FULL_43_37
G001823815	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPHIGHO2_12_FULL_38_37
G001823825	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPHIGHO2_12_FULL_39_21
G001823875	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPHIGHO2_12_FULL_43_12b
G001823895	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPHIGHO2_12_FULL_44_12b
G001823945	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPLOWO2_01_FULL_42_41
G001823995	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPLOWO2_01_FULL_45_21
G001824005	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPLOWO2_01_FULL_47_14
G001824025	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPLOWO2_01_FULL_47_33
G001824075	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPLOWO2_01_FULL_52_12
G001824095	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPLOWO2_02_39_10
G001824135	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPLOWO2_02_FULL_39_14
G001824155	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPLOWO2_02_FULL_39_69
G001824195	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPLOWO2_12_39_8
G001824235	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPLOWO2_12_FULL_39_23
G001824255	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPLOWO2_02_FULL_51_21
G001824275	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFOXYC1_FULL_39_10
G001824295	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFOXYD1_FULL_40_13
G001824315	Bacteria						Parcubacteria group bacterium RIFCSPHIGHO2_01_FULL_40_30
G001824325	Bacteria						Parcubacteria group bacterium RIFCSPHIGHO2_01_FULL_47_10b
G001824355	Bacteria						Parcubacteria group bacterium RIFCSPHIGHO2_01_FULL_56_18
G001824375	Bacteria						Parcubacteria group bacterium RIFCSPHIGHO2_02_FULL_40_12
G001824395	Bacteria						Parcubacteria group bacterium RIFCSPHIGHO2_02_FULL_48_10b
G001824435	Bacteria						Parcubacteria group bacterium RIFCSPLOWO2_01_FULL_48_18
G001824455	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae		Desulfuromonadaceae bacterium GWB2_53_15
G001824485	Bacteria	Planctomycetes					Planctomycetes bacterium GWA2_39_15
G001824605	Bacteria	Planctomycetes					Planctomycetes bacterium GWF2_40_8
G001824635	Bacteria	Planctomycetes					Planctomycetes bacterium GWF2_50_10
G001824645	Bacteria	Planctomycetes					Planctomycetes bacterium RBG_13_46_10
G001824675	Bacteria	Planctomycetes					Planctomycetes bacterium RBG_13_50_24
G001824685	Bacteria	Planctomycetes					Planctomycetes bacterium RBG_13_60_9
G001824735	Bacteria	Candidatus Taylorbacteria					Candidatus Taylorbacteria bacterium RIFCSPLOWO2_12_FULL_49_67
G001824755	Bacteria	Candidatus Veblenbacteria					Candidatus Veblenbacteria bacterium RIFOXYA2_FULL_43_9
G001824825	Bacteria	Candidatus Vogelbacteria					Candidatus Vogelbacteria bacterium RIFOXYD1_FULL_46_19
G001824885	Bacteria	Candidatus Wildermuthbacteria					Candidatus Wildermuthbacteria bacterium RIFCSPHIGHO2_01_FULL_47_27
G001824925	Bacteria	Candidatus Wildermuthbacteria					Candidatus Wildermuthbacteria bacterium RIFCSPHIGHO2_02_FULL_47_17
G001824985	Bacteria	Candidatus Wildermuthbacteria					Candidatus Wildermuthbacteria bacterium RIFCSPLOWO2_01_FULL_47_18
G001825005	Bacteria	Candidatus Wildermuthbacteria					Candidatus Wildermuthbacteria bacterium RIFCSPLOWO2_01_FULL_48_16
G001825065	Bacteria	Candidatus Yonathbacteria					Candidatus Yonathbacteria bacterium RIFCSPHIGHO2_01_FULL_44_19
G001825075	Bacteria	Candidatus Yonathbacteria					Candidatus Yonathbacteria bacterium RIFCSPLOWO2_01_FULL_43_20
G001825215	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPHIGHO2_01_FULL_52_18
G001825235	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPHIGHO2_02_38_10.5
G001825295	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPHIGHO2_02_FULL_39_19
G001825315	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPHIGHO2_02_FULL_43_14
G001825325	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPHIGHO2_12_FULL_38_34
G001825335	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPLOWO2_01_FULL_35_19
G001825395	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPLOWO2_02_FULL_39_26
G001825405	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFCSPLOWO2_12_FULL_39_45
G001825445	Bacteria	Candidatus Zambryskibacteria					Candidatus Zambryskibacteria bacterium RIFOXYD1_FULL_39_35
G001825485	Bacteria						Parcubacteria group bacterium RIFCSPHIGHO2_01_FULL_45_26
G001825495	Bacteria						Parcubacteria group bacterium RIFCSPLOWO2_02_FULL_40_12
G001825555	Bacteria						Parcubacteria group bacterium RIFOXYD2_FULL_52_8
G001825635	Bacteria	Planctomycetes					Planctomycetes bacterium GWC2_39_26
G001825655	Bacteria	Planctomycetes					Planctomycetes bacterium GWF2_39_10
G001825665	Bacteria	Planctomycetes					Planctomycetes bacterium GWF2_41_51
G001825715	Bacteria	Planctomycetes					Planctomycetes bacterium RBG_13_44_8b
G001828265	Bacteria	Planctomycetes					Planctomycetes bacterium RBG_13_63_9
G001828345	Bacteria	Planctomycetes					Planctomycetes bacterium RBG_19FT_COMBO_48_8
G001828415	Bacteria	Planctomycetes					Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_52_58
G001828445	Bacteria	Planctomycetes					Planctomycetes bacterium RBG_16_43_13
G001828535	Bacteria	Planctomycetes					Planctomycetes bacterium RIFCSPHIGHO2_12_42_15
G001828545	Bacteria	Planctomycetes					Planctomycetes bacterium RIFCSPHIGHO2_12_FULL_52_36
G001828635	Bacteria	Planctomycetes					Planctomycetes bacterium RIFOXYB12_FULL_42_10
G001828645	Bacteria	Planctomycetes					Planctomycetes bacterium RIFOXYC2_FULL_41_27
G001828765	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales			Pseudomonadales bacterium RIFCSPHIGHO2_12_FULL_40_16
G001829005	Bacteria	Bacteroidetes	Sphingobacteriia				Sphingobacteriia bacterium RIFOXYC2_FULL_35_18
G001829035	Bacteria	Bacteroidetes	Sphingobacteriia				Sphingobacteriia bacterium RIFOXYD2_FULL_35_12
G001829155	Bacteria	Spirochaetes					Spirochaetes bacterium GWB1_36_13
G001829255	Bacteria	Spirochaetes					Spirochaetes bacterium GWC2_52_13
G001829375	Bacteria	Spirochaetes					Spirochaetes bacterium GWF1_41_5
G001829395	Bacteria	Spirochaetes					Spirochaetes bacterium GWF1_49_6
G001829415	Bacteria	Spirochaetes					Spirochaetes bacterium GWF1_51_8
G001829425	Bacteria	Spirochaetes					Spirochaetes bacterium GWF2_52_7
G001829455	Bacteria	Spirochaetes					Spirochaetes bacterium RBG_13_51_14
G001829555	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfuricurvum	Sulfuricurvum sp. GWF2_44_89
G001829605	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfuricurvum	Sulfuricurvum sp. RIFCSPLOWO2_12_FULL_43_24
G001829625	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfurimonas	Sulfurimonas sp. GWF2_37_8
G001829655	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfurimonas	Sulfurimonas sp. RIFCSPLOWO2_02_FULL_36_28
G001829675	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfurimonas	Sulfurimonas sp. RIFCSPLOWO2_12_36_12
G001829695	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfurimonas	Sulfurimonas sp. RIFCSPLOWO2_12_FULL_34_6
G001829705	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfurimonas	Sulfurimonas sp. RIFCSPLOWO2_12_FULL_36_74
G001829715	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfurimonas	Sulfurimonas sp. RIFOXYB12_FULL_35_9
G001829755	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfurimonas	Sulfurimonas sp. RIFOXYB2_FULL_37_5
G001829775	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfurimonas	Sulfurimonas sp. RIFOXYC2_FULL_36_7
G001829785	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfurimonas	Sulfurimonas sp. RIFOXYD12_FULL_33_39
G001829835	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales			Syntrophobacterales bacterium GWF2_56_9
G001829875	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Syntrophus	Syntrophus sp. GWC2_56_31
G001829915	Bacteria	Tenericutes					Tenericutes bacterium GWA2_35_7
G001829935	Bacteria	Tenericutes					Tenericutes bacterium GWA2_38_26
G001829955	Bacteria	Tenericutes					Tenericutes bacterium GWD2_38_27
G001829965	Bacteria	Tenericutes					Tenericutes bacterium GWE2_34_108
G001829995	Bacteria	Tenericutes					Tenericutes bacterium GWE2_38_8
G001830015	Bacteria	Tenericutes					Tenericutes bacterium GWF2_35_184
G001830035	Bacteria	Tenericutes					Tenericutes bacterium GWF2_38_8
G001830045	Bacteria	Tenericutes					Tenericutes bacterium RIFOXYA12_FULL_35_10
G001830065	Bacteria	Tenericutes					Tenericutes bacterium RIFOXYA2_FULL_36_32
G001830095	Bacteria	Tenericutes					Tenericutes bacterium RIFOXYC2_FULL_35_27
G001830115	Archaea	Thaumarchaeota					Thaumarchaeota archaeon RBG_16_49_8
G001830135	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Thermodesulfovibrio	Thermodesulfovibrio sp. RBG_19FT_COMBO_41_18
G001830155	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema sp. GWA1_62_8
G001830165	Bacteria	Tenericutes					Tenericutes bacterium RIFOXYD12_FULL_36_9
G001830285	Bacteria	Planctomycetes					Planctomycetes bacterium RIFCSPLOWO2_12_38_17
G001830315	Bacteria	Planctomycetes					Planctomycetes bacterium RIFCSPLOWO2_12_FULL_39_13
G001830325	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter	Polynucleobacter sp. GWA2_45_21
G001830535	Bacteria	Proteobacteria	Betaproteobacteria	Gallionellales	Gallionellaceae	Sideroxydans	Sideroxydans sp. RIFOXYD2_FULL_59_7
G001830645	Bacteria	Spirochaetes					Spirochaetes bacterium RIFOXYC1_FULL_54_7
G001830665	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfuricurvum	Sulfuricurvum sp. RIFCSPHIGHO2_12_FULL_44_8
G001830685	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfuricurvum	Sulfuricurvum sp. RIFCSPLOWO2_02_FULL_43_45
G001830715	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfuricurvum	Sulfuricurvum sp. RIFCSPLOWO2_12_43_5
